Community,Long,Lat,ProjectionScenario,TotalChangeValue,TotalChangeVolume
BRISTOL_RI,-71.2662,41.67711,Future_2100_rcp45_warm_percdiff.combo.b,1.571085383,24.17943534
BRISTOL_RI,-71.2662,41.67711,Future_2100_rcp85_cold_percdiff.combo.b,-0.222841255,3.1884935
BRISTOL_RI,-71.2662,41.67711,Future_2100_rcp85_mean_percdiff.combo.b,1.502284496,24.9749701
BRISTOL_RI,-71.2662,41.67711,Future_2100_rcp85_warm_percdiff.combo.b,-0.946836391,15.99252087
BRUNSWICK_ME,-69.967,43.91402,Future_2055_rcp45_cold_percdiff.combo.b,-0.301333013,-0.835184302
BRUNSWICK_ME,-69.967,43.91402,Future_2055_rcp45_mean_percdiff.combo.b,-1.212186948,-3.262044437
BRUNSWICK_ME,-69.967,43.91402,Future_2055_rcp45_warm_percdiff.combo.b,-3.082897045,-8.389436327
BRUNSWICK_ME,-69.967,43.91402,Future_2055_rcp85_cold_percdiff.combo.b,-0.716105309,-1.902022027
BRUNSWICK_ME,-69.967,43.91402,Future_2055_rcp85_mean_percdiff.combo.b,-2.244191045,-6.097515327
BRUNSWICK_ME,-69.967,43.91402,Future_2055_rcp85_warm_percdiff.combo.b,-3.997443446,-10.89851609
BRUNSWICK_ME,-69.967,43.91402,Future_2100_rcp45_cold_percdiff.combo.b,-0.487715248,-1.285591027
BRUNSWICK_ME,-69.967,43.91402,Future_2100_rcp45_mean_percdiff.combo.b,-1.861619997,-5.044403887
BRUNSWICK_ME,-69.967,43.91402,Future_2100_rcp45_warm_percdiff.combo.b,-3.349516675,-9.115833127
BRUNSWICK_ME,-69.967,43.91402,Future_2100_rcp85_cold_percdiff.combo.b,-2.166226428,-5.877910267
BRUNSWICK_ME,-69.967,43.91402,Future_2100_rcp85_mean_percdiff.combo.b,-4.569712127,-12.48432525
BRUNSWICK_ME,-69.967,43.91402,Future_2100_rcp85_warm_percdiff.combo.b,-5.709617352,-15.57854211
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2055_rcp45_cold_percdiff.combo.b,-9.959777058,-3.669428806
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2055_rcp45_mean_percdiff.combo.b,-15.82314158,-8.394259538
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2055_rcp45_warm_percdiff.combo.b,-28.31498615,-25.30013646
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2055_rcp85_cold_percdiff.combo.b,-10.6530233,-5.451530562
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2055_rcp85_mean_percdiff.combo.b,-21.41305075,-19.01406569
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2055_rcp85_warm_percdiff.combo.b,-41.49588621,-40.05115406
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2100_rcp45_cold_percdiff.combo.b,-9.485844184,-1.478589498
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2100_rcp45_mean_percdiff.combo.b,-18.23560325,-14.41952664
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2100_rcp45_warm_percdiff.combo.b,-35.71945686,-34.26993882
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2100_rcp85_cold_percdiff.combo.b,-29.91409595,-30.87636754
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2100_rcp85_mean_percdiff.combo.b,-58.00940611,-59.90936586
BUCKS HARBOR_ME,-67.38776,44.64195,Future_2100_rcp85_warm_percdiff.combo.b,-74.09671491,-73.29065542
BUNKERS HARBOR_ME,-68.02942,44.37118,Future_2055_rcp45_cold_percdiff.combo.b,-14.62547634,-14.53528496
