COCA_clean,TimeHorizon,social_impact_raw,social_impact_presacledchange,social_impact_pretranschange,social_impact_fullyscaled,social_impact_fullytrans
"Pembroke, ME",2100,34.733329571999995,0.8505129371999999,1.9222742244,0.04725071873333332,0.10679301246666664
"Plymouth, MA",2100,-40.36873504,0.284041841,-0.35048762,0,-0
"Point Pleasant, NJ",2100,-25.85597166,0.372969312,0.058301462,0,0
"Point Judith, RI",2100,-6.725670478,1.021593602,1.383756302,0.17026560033333332,0.23062605033333333
"Point Lookout, NY",2100,-52.51765524,0.741001596,0.093907988,0.123500266,0.01565133133333333
"Port Clyde Tenants Harbor Saint George Spruce Head, ME",2100,-223.19706884800001,0.4391212234,-3.6124726231999995,0.10332264079999999,-0.8499935583999999
"Portland, ME",2100,-76.41542982,0.1694449824,-1.2085147283999997,0.009413610133333332,-0.06713970713333331
"Portsmouth, NH",2100,-57.76118536,0.177468987,-0.840390446,0,-0
"Provincetown, MA",2100,-25.15368382,0.908675298,0.864684196,0.151445883,0.14411403266666667
"Reedville District 5, VA",2100,82.95488,2.633919732,5.483040276,0.658479933,1.370760069
"Rockland, ME",2100,-137.39857536,0.220890756,-2.29698012,0.036815126,-0.38283002
"Rockport, MA",2100,-80.226725472,0.1460911344,-1.3158696144,0.00811617413333333,-0.07310386746666665
"Rockport, ME",2100,-92.21901093599999,0.07260798,-1.6536629915999999,0.004033776666666666,-0.09187016619999998
"Rye, NH",2100,-50.354081928,0.6479784288,-0.0024696396000000002,0.09599680426666667,-3.6587253333333333e-4
"Sandwich East Sandwich Forestdale, MA",2100,-25.75776557,0.373571074,0.061067687,0,0
"Saugus, MA",2100,-73.67489,0.079957199,-1.288640619,0,-0
"Scarborough, ME",2100,-59.544839292,0.2728201224,-0.7333114176,0.015156673466666663,-0.04073952319999999
"Scituate North Scituate, MA",2100,-55.32895781,0.40493362419999995,-0.45724013859999996,0.03856510706666665,-0.04354667986666665
"Sea Isle City, NJ",2100,10.15558738,1.125034108,1.859260086,0.18750568466666664,0.309876681
"Seabrook, NH",2100,-22.14507335,0.395707973,0.162828399,0,0
"Shinnecock, NY",2100,16.63559274,0.633337876,1.255185,0,0
"Sorrento, ME",2100,-159.040888944,0.5133988692,-2.2773104088,0.1100140434,-0.4879950876
"South Bristol, ME",2100,-190.23298038400003,0.5348293024,-2.8412750016,0.12256504846666669,-0.6511255212000001
"South Harpswell, ME",2100,-121.93688,0.6344744562,-1.3895013418,0.1301486064,-0.2850259162666666
"South Kingstown, RI",2100,19.31368118,0.649747958,1.330620207,0,0
"South Thomaston, ME",2100,-95.338705984,0.26605301600000003,-1.4268967776,0.033256627000000004,-0.17836209720000004
"Southport, ME",2100,-143.40763278,0.184070044,-2.466240584,0.030678340666666665,-0.4110400973333333
"Southwest Harbor, ME",2100,-117.14982818,0.34496567,-1.726622392,0.05749427833333333,-0.28777039866666665
"Stonington, ME",2100,-258.3775372,0.542393276,-4.131459852,0.135598319,-1.032864963
"Stonington Mystic Pawcatuck, CT",2100,-34.53606572,0.319781729,-0.186195578,0,-0
"Stueben, ME",2100,-170.85335819999997,0.4410175448,-2.6100388019999996,0.0945037596,-0.5592940289999999
"Swans Island, ME",2100,-250.68540799800002,0.4832465281999999,-4.072111566599999,0.1186921297333333,-1.0001677532
"Tiverton, RI",2100,4.401278303,0.558371682,0.910574258,0,0
"Tremont, ME",2100,-132.58743478,0.25037119,-2.161462046,0.041728531666666666,-0.3602436743333333
"Truro, MA",2100,107.063638164,1.4,4.116962473399999,0.1333333333333333,0.39209166413333324
"Vinalhaven, ME",2100,-244.57680550799998,0.41439666960000004,-4.057367364,0.0997621612,-0.9767736246666666
"Vineyard Haven, MA",2100,2.7752741292,0.6546888216000001,1.0220938932,0.03637160119999999,0.056782994066666655
"Virginia Beach Lynnhaven, VA",2100,-5.057116531,0.500415033,0.644154387,0,0
"Wachapreague, VA",2100,30.996611672799997,1.9967019894,3.547542218,0.46981223279999995,0.8347158159999999
"Wanchese, NC",2100,67.642506432,2.3275315476,4.7370877272,0.5603316688666667,1.1404100084
"Wareham, MA",2100,3.649323944,0.553764055,0.889393541,0,0
"Waretown, NJ",2100,33.40805236,1.267514408,2.514225206,0.21125240133333334,0.4190375343333333
"Warwick, RI",2100,3.251073103,0.551323759,0.878175788,0,0
"Wellfleet, MA",2100,-1.233352624,1.055247974,1.538461476,0.17587466233333332,0.25641024599999995
"Westerley Westerley Center, RI",2100,41.06632239,0.783038036,1.943338956,0,0
"Westport, MA",2100,-6.066674172,0.494228933,0.615717615,0,0
"Wildwood, NJ",2100,-85.89469819199999,0.1113604308,-1.4755225559999998,0.006186690599999998,-0.08197347533333331
"Winter Harbor, ME",2100,-240.536605042,0.5454336802,-3.786244589,0.13396616706666667,-0.9299548113333332
"Winthrop, MA",2100,-63.61134895,0.141621903,-1.005175259,0,-0
"Woods Hole, MA",2100,45.182629494000004,1.2333830076,2.6885660706000003,0.18272340853333333,0.3983060845333333
"Yarmouth, MA",2100,-5.753024,0.496150835,0.624552374,0,0
"York Harbor, ME",2100,-124.3228,0.301013032,-1.92866748,0.05016883866666667,-0.32144458
