COCACommunity,COCA_clean,TimeHorizon,ClimateScenario,EnsembleStat,EmergingSpecies,EmergingSpecies_rescaled
OGUNQUIT_ME,"Ogunquit, ME",2055,rcp85,mean,11,0.45454545454545453
OGUNQUIT_ME,"Ogunquit, ME",2100,rcp85,mean,16,0.6521739130434783
ORIENTAL_NC,"Oriental, NC",2055,rcp85,mean,3,0.09090909090909091
ORLEANS_MA,"Orleans, MA",2055,rcp85,mean,15,0.6363636363636364
ORLEANS_MA,"Orleans, MA",2100,rcp85,mean,15,0.6086956521739131
OWLS HEAD_ME,"Owls Head, ME",2055,rcp85,mean,21,0.9090909090909091
OWLS HEAD_ME,"Owls Head, ME",2100,rcp85,mean,20,0.8260869565217391
PEMBROKE_ME,"Pembroke, ME",2055,rcp85,mean,15,0.6363636363636364
PEMBROKE_ME,"Pembroke, ME",2100,rcp85,mean,21,0.8695652173913043
PLYMOUTH_MA,"Plymouth, MA",2055,rcp85,mean,11,0.45454545454545453
PLYMOUTH_MA,"Plymouth, MA",2100,rcp85,mean,11,0.43478260869565216
POINT JUDITH_RI,"Point Judith, RI",2055,rcp85,mean,5,0.18181818181818182
POINT JUDITH_RI,"Point Judith, RI",2100,rcp85,mean,6,0.21739130434782608
POINT LOOKOUT_NY,"Point Lookout, NY",2055,rcp85,mean,3,0.09090909090909091
POINT LOOKOUT_NY,"Point Lookout, NY",2100,rcp85,mean,6,0.21739130434782608
POINT  PLEASANT_NJ,"Point Pleasant, NJ",2055,rcp85,mean,5,0.18181818181818182
POINT  PLEASANT_NJ,"Point Pleasant, NJ",2100,rcp85,mean,5,0.17391304347826086
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,"Port Clyde Tenants Harbor Saint George Spruce Head, ME",2055,rcp85,mean,19,0.8181818181818182
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,"Port Clyde Tenants Harbor Saint George Spruce Head, ME",2100,rcp85,mean,21,0.8695652173913043
PORTLAND_ME,"Portland, ME",2055,rcp85,mean,15,0.6363636363636364
PORTLAND_ME,"Portland, ME",2100,rcp85,mean,19,0.782608695652174
PORTSMOUTH_NH,"Portsmouth, NH",2055,rcp85,mean,15,0.6363636363636364
PORTSMOUTH_NH,"Portsmouth, NH",2100,rcp85,mean,17,0.6956521739130435
PROVINCETOWN_MA,"Provincetown, MA",2055,rcp85,mean,11,0.45454545454545453
PROVINCETOWN_MA,"Provincetown, MA",2100,rcp85,mean,15,0.6086956521739131
REEDVILLE_DISTRICT_5_VA,"Reedville District 5, VA",2055,rcp85,mean,5,0.18181818181818182
REEDVILLE_DISTRICT_5_VA,"Reedville District 5, VA",2100,rcp85,mean,3,0.08695652173913043
ROCKLAND_ME,"Rockland, ME",2055,rcp85,mean,16,0.6818181818181818
ROCKLAND_ME,"Rockland, ME",2100,rcp85,mean,20,0.8260869565217391
ROCKPORT_MA,"Rockport, MA",2055,rcp85,mean,14,0.5909090909090909
ROCKPORT_MA,"Rockport, MA",2100,rcp85,mean,19,0.782608695652174
ROCKPORT_ME,"Rockport, ME",2055,rcp85,mean,14,0.5909090909090909
ROCKPORT_ME,"Rockport, ME",2100,rcp85,mean,17,0.6956521739130435
RYE_NH,"Rye, NH",2055,rcp85,mean,15,0.6363636363636364
RYE_NH,"Rye, NH",2100,rcp85,mean,18,0.7391304347826086
SANDWICH_EAST_SANDWICH_FORESTDALE_MA,"Sandwich East Sandwich Forestdale, MA",2055,rcp85,mean,7,0.2727272727272727
SANDWICH_EAST_SANDWICH_FORESTDALE_MA,"Sandwich East Sandwich Forestdale, MA",2100,rcp85,mean,9,0.34782608695652173
SAUGUS_MA,"Saugus, MA",2055,rcp85,mean,12,0.5
SAUGUS_MA,"Saugus, MA",2100,rcp85,mean,16,0.6521739130434783
SCARBOROUGH_ME,"Scarborough, ME",2055,rcp85,mean,14,0.5909090909090909
SCARBOROUGH_ME,"Scarborough, ME",2100,rcp85,mean,16,0.6521739130434783
SCITUATE_NORTH_SCITUATE_MA,"Scituate North Scituate, MA",2055,rcp85,mean,10,0.4090909090909091
SCITUATE_NORTH_SCITUATE_MA,"Scituate North Scituate, MA",2100,rcp85,mean,14,0.5652173913043478
SEA ISLE CITY_NJ,"Sea Isle City, NJ",2055,rcp85,mean,6,0.22727272727272727
SEA ISLE CITY_NJ,"Sea Isle City, NJ",2100,rcp85,mean,4,0.13043478260869565
SEABROOK_NH,"Seabrook, NH",2055,rcp85,mean,15,0.6363636363636364
SEABROOK_NH,"Seabrook, NH",2100,rcp85,mean,18,0.7391304347826086
SHINNECOCK_NY,"Shinnecock, NY",2055,rcp85,mean,5,0.18181818181818182
SHINNECOCK_NY,"Shinnecock, NY",2100,rcp85,mean,6,0.21739130434782608
SORRENTO_ME,"Sorrento, ME",2055,rcp85,mean,18,0.7727272727272727
SORRENTO_ME,"Sorrento, ME",2100,rcp85,mean,22,0.9130434782608695
SOUTH BRISTOL_ME,"South Bristol, ME",2055,rcp85,mean,19,0.8181818181818182
SOUTH BRISTOL_ME,"South Bristol, ME",2100,rcp85,mean,20,0.8260869565217391
SOUTH HARPSWELL_ME,"South Harpswell, ME",2055,rcp85,mean,13,0.5454545454545454
SOUTH HARPSWELL_ME,"South Harpswell, ME",2100,rcp85,mean,13,0.5217391304347826
SOUTH KINGSTOWN_RI,"South Kingstown, RI",2055,rcp85,mean,7,0.2727272727272727
SOUTH KINGSTOWN_RI,"South Kingstown, RI",2100,rcp85,mean,7,0.2608695652173913
SOUTH THOMASTON_ME,"South Thomaston, ME",2055,rcp85,mean,17,0.7272727272727273
SOUTH THOMASTON_ME,"South Thomaston, ME",2100,rcp85,mean,20,0.8260869565217391
SOUTHPORT_ME,"Southport, ME",2055,rcp85,mean,23,1
SOUTHPORT_ME,"Southport, ME",2100,rcp85,mean,24,1
SOUTHWEST HARBOR_ME,"Southwest Harbor, ME",2055,rcp85,mean,18,0.7727272727272727
SOUTHWEST HARBOR_ME,"Southwest Harbor, ME",2100,rcp85,mean,21,0.8695652173913043
STONINGTON_MYSTIC_PAWCATUCK_CT,"Stonington Mystic Pawcatuck, CT",2055,rcp85,mean,5,0.18181818181818182
STONINGTON_MYSTIC_PAWCATUCK_CT,"Stonington Mystic Pawcatuck, CT",2100,rcp85,mean,7,0.2608695652173913
STONINGTON_ME,"Stonington, ME",2055,rcp85,mean,19,0.8181818181818182
STONINGTON_ME,"Stonington, ME",2100,rcp85,mean,21,0.8695652173913043
STUEBEN_ME,"Stueben, ME",2055,rcp85,mean,20,0.8636363636363636
STUEBEN_ME,"Stueben, ME",2100,rcp85,mean,21,0.8695652173913043
SWANS ISLAND_ME,"Swans Island, ME",2055,rcp85,mean,19,0.8181818181818182
SWANS ISLAND_ME,"Swans Island, ME",2100,rcp85,mean,23,0.9565217391304348
TIVERTON_RI,"Tiverton, RI",2055,rcp85,mean,8,0.3181818181818182
TIVERTON_RI,"Tiverton, RI",2100,rcp85,mean,8,0.30434782608695654
TREMONT_ME,"Tremont, ME",2055,rcp85,mean,20,0.8636363636363636
TREMONT_ME,"Tremont, ME",2100,rcp85,mean,22,0.9130434782608695
TRURO_MA,"Truro, MA",2055,rcp85,mean,12,0.5
TRURO_MA,"Truro, MA",2100,rcp85,mean,15,0.6086956521739131
VINALHAVEN_ME,"Vinalhaven, ME",2055,rcp85,mean,17,0.7272727272727273
VINALHAVEN_ME,"Vinalhaven, ME",2100,rcp85,mean,20,0.8260869565217391
VINEYARD HAVEN_MA,"Vineyard Haven, MA",2055,rcp85,mean,11,0.45454545454545453
VINEYARD HAVEN_MA,"Vineyard Haven, MA",2100,rcp85,mean,7,0.2608695652173913
VIRGINIA BEACH/LYNNHAVEN_VA,"Virginia Beach Lynnhaven, VA",2055,rcp85,mean,1,0
VIRGINIA BEACH/LYNNHAVEN_VA,"Virginia Beach Lynnhaven, VA",2100,rcp85,mean,1,0
WACHAPREAGUE_VA,"Wachapreague, VA",2055,rcp85,mean,1,0
WACHAPREAGUE_VA,"Wachapreague, VA",2100,rcp85,mean,1,0
WANCHESE_NC,"Wanchese, NC",2055,rcp85,mean,2,0.045454545454545456
WANCHESE_NC,"Wanchese, NC",2100,rcp85,mean,1,0
WAREHAM_MA,"Wareham, MA",2055,rcp85,mean,9,0.36363636363636365
WAREHAM_MA,"Wareham, MA",2100,rcp85,mean,9,0.34782608695652173
WARETOWN_NJ,"Waretown, NJ",2055,rcp85,mean,2,0.045454545454545456
WARETOWN_NJ,"Waretown, NJ",2100,rcp85,mean,3,0.08695652173913043
WARWICK_RI,"Warwick, RI",2055,rcp85,mean,7,0.2727272727272727
WARWICK_RI,"Warwick, RI",2100,rcp85,mean,8,0.30434782608695654
WELLFLEET_MA,"Wellfleet, MA",2055,rcp85,mean,13,0.5454545454545454
