LatID,ID,Community,City,State,ColburnCommunity,Long,Lat,City_raw,City_raw_community,City_raw_short,City_label,meanLat
87,55,HYANNISPORT_MA,Hyannisport,MA,NA,-70.302933,41.6321044,Hyannisport,"Hyannisport, MA",Hyannisport,"Hyannisport, MA",41.96883369375
88,121,WESTPORT_MA,Westport,MA,"Westport, MA",-71.0735476,41.5700183,Westport,"Westport, MA",Westport,"Westport, MA",41.96883369375
89,38,FALMOUTH_MA,Falmouth,MA,"Falmouth, MA",-70.603467,41.5596249,Falmouth,"Falmouth, MA",Falmouth,"Falmouth, MA",41.96883369375
90,124,WOODS HOLE_MA,Woods Hole,MA,"Woods Hole, MA",-70.6730857,41.5264977,Woods Hole,"Woods Hole, MA",Woods Hole,"Woods Hole, MA",41.96883369375
91,34,EDGARTOWN_MA,Edgartown,MA,"Edgartown, MA",-70.5133599,41.3890052,Edgartown,"Edgartown, MA",Edgartown,"Edgartown, MA",41.96883369375
92,69,NANTUCKET_MA,Nantucket,MA,"Nantucket, MA",-70.0991658,41.2847987,Nantucket,"Nantucket, MA",Nantucket,"Nantucket, MA",41.96883369375
93,118,WARWICK_RI,Warwick,RI,"Warwick, RI",-71.41758,41.707274,Warwick,"Warwick, RI",Warwick,"Warwick, RI",41.562138757142854
94,15,BRISTOL_RI,Bristol,RI,"Bristol, RI",-71.2662025,41.6771101,Bristol,"Bristol, RI",Bristol,"Bristol, RI",41.562138757142854
95,29,DAVISVILLE_RI,Davisville,RI,NA,-71.474003,41.6127411,Davisville,"Davisville, RI",Davisville,"Davisville, RI",41.562138757142854
96,75,NORTH_KINGSTOWN_SAUNDERSTOWN_RI,North Kingstown/Saunderstown,RI,"North Kingstown Saunderstown, RI",-71.448489,41.5722602,North Kingstown Saunderstown,"North Kingstown Saunderstown, RI",North Kingstown S...,"North Kingstown S..., RI",41.562138757142854
97,60,LITTLE COMPTON_RI,Little Compton,RI,"Little Compton, RI",-71.1711563,41.5101032,Little Compton,"Little Compton, RI",Little Compton,"Little Compton, RI",41.562138757142854
98,73,NEWPORT_RI,Newport,RI,"Newport, RI",-71.3128285,41.4901024,Newport,"Newport, RI",Newport,"Newport, RI",41.562138757142854
99,83,POINT JUDITH_RI,Point Judith,RI,"Narragansett Point Judith, RI",-71.4867225,41.3653803,Point Judith,"Point Judith, RI",Point Judith,"Point Judith, RI",41.562138757142854
100,71,NEW LONDON_CT,New London,CT,"New London, CT",-72.0995209,41.3556539,New London,"New London, CT",New London,"New London, CT",41.35495975
101,111,STONINGTON_MYSTIC_PAWCATUCK_CT,Stonington/Mystic/Pawcatuck,CT,"Stonington Mystic Pawcatuck, CT",-71.966462,41.3542656,Stonington Mystic Pawcatuck,"Stonington Mystic Pawcatuck, CT",Stonington Mystic...,"Stonington Mystic..., CT",41.35495975
102,67,MONTAUK_NY,Montauk,NY,"Montauk, NY",-71.9545146,41.0359353,Montauk,"Montauk, NY",Montauk,"Montauk, NY",40.8501774
103,102,SHINNECOCK_NY,Shinnecock,NY,"Shinnecock Hills, NY",-72.4636982,40.8909338,Shinnecock,"Shinnecock, NY",Shinnecock,"Shinnecock, NY",40.8501774
104,46,HAMPTON_BAYS_SHINNECOCK_NY,Hampton Bays/Shinnecock,NY,"Hampton Bays Shinnecock, NY",-72.51088,40.881515,Hampton Bays Shinnecock,"Hampton Bays Shinnecock, NY",Hampton Bays Shin...,"Hampton Bays Shin..., NY",40.8501774
105,84,POINT LOOKOUT_NY,Point Lookout,NY,"Point Lookout, NY",-73.580684,40.5923255,Point Lookout,"Point Lookout, NY",Point Lookout,"Point Lookout, NY",40.8501774
106,9,BELFORD_NJ,Belford,NJ,"Belford, NJ",-74.086807,40.425941,Belford,"Belford, NJ",Belford,"Belford, NJ",39.4765726125
107,85,POINT  PLEASANT_NJ,Point Pleasant,NJ,"Point Pleasant, NJ",-74.0681931,40.0831714,Point Pleasant,"Point Pleasant, NJ",Point Pleasant,"Point Pleasant, NJ",39.4765726125
108,5,BARNEGAT LIGHT/LONG BEACH_NJ,Barnegat Light/Long Beach,NJ,"Barnegat Light, NJ",-74.1062466,39.7576202,Barnegat Light Long Beach,"Barnegat Light Long Beach, NJ",Barnegat Light Lo...,"Barnegat Light Lo..., NJ",39.4765726125
109,2,ATLANTIC CITY_NJ,Atlantic City,NJ,"Atlantic City, NJ",-74.4229266,39.3642834,Atlantic City,"Atlantic City, NJ",Atlantic City,"Atlantic City, NJ",39.4765726125
110,100,SEA ISLE CITY_NJ,Sea Isle City,NJ,"Sea Isle City, NJ",-74.6929387,39.1534477,Sea Isle City,"Sea Isle City, NJ",Sea Isle City,"Sea Isle City, NJ",39.4765726125
111,3,AVALON_NJ,Avalon,NJ,"Avalon, NJ",-74.7176622,39.101225,Avalon,"Avalon, NJ",Avalon,"Avalon, NJ",39.4765726125
112,122,WILDWOOD_NJ,Wildwood,NJ,"Wildwood, NJ",-74.8148894,38.9917797,Wildwood,"Wildwood, NJ",Wildwood,"Wildwood, NJ",39.4765726125
113,20,CAPE MAY_NJ,Cape May,NJ,"Cape may, NJ",-74.9060053,38.9351125,Cape May,"Cape May, NJ",Cape May,"Cape May, NJ",39.4765726125
114,77,OCEAN CITY_MD,Ocean City,MD,"Ocean City, MD",-75.0882873,38.3255194,Ocean City,"Ocean City, MD",Ocean City,"Ocean City, MD",38.3255194
115,24,CHINCOTEAGUE_VA,Chincoteague,VA,"Chincoteague, VA",-75.3788086,37.933179,Chincoteague,"Chincoteague, VA",Chincoteague,"Chincoteague, VA",37.3238883
116,90,REEDVILLE_DISTRICT_5_VA,Reedville/District 5,VA,"Reedville District 5 Northumberland County, VA",-76.2757771,37.8420743,Reedville District 5,"Reedville District 5, VA",Reedville District 5,"Reedville District 5, VA",37.3238883
117,31,DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN_VA,District 1/Grafton/Seaford/Yorktown,VA,"District 1 Grafton Seaford Yorktown York County, VA",-76.4330032,37.1981994,District 1 Grafton Seaford Yorktown,"District 1 Grafton Seaford Yorktown, VA",District 1 Grafto...,"District 1 Grafto..., VA",37.3238883
118,74,NEWPORT NEWS_VA,Newport News,VA,"Newport News, VA",-76.4730122,37.0870821,Newport News,"Newport News, VA",Newport News,"Newport News, VA",37.3238883
119,45,HAMPTON_VA,Hampton,VA,"Hampton, VA",-76.3452218,37.0298687,Hampton,"Hampton, VA",Hampton,"Hampton, VA",37.3238883
120,116,VIRGINIA BEACH/LYNNHAVEN_VA,Virginia Beach/Lynnhaven,VA,"Virginia Beach, VA",-75.977985,36.8529263,Virginia Beach Lynnhaven,"Virginia Beach Lynnhaven, VA",Virginia Beach Ly...,"Virginia Beach Ly..., VA",37.3238883
121,117,WANCHESE_NC,Wanchese,NC,"Wanchese, NC",-75.6385054,35.8426728,Wanchese,"Wanchese, NC",Wanchese,"Wanchese, NC",35.261087016666664
122,35,ENGELHARD_NC,Engelhard,NC,"Lake Landing Engelhard, NC",-75.9961259,35.5096699,Engelhard,"Engelhard, NC",Engelhard,"Engelhard, NC",35.261087016666664
123,52,HOBUCKEN_NC,Hobucken,NC,"Hobucken, NC",-76.5672066,35.2455115,Hobucken,"Hobucken, NC",Hobucken,"Hobucken, NC",35.261087016666664
124,51,HATTERAS_AVON_BUXTON_FRISCO_HATTERAS_RODANTHE_SALVO_WAVES_NC,Hatteras/Avon/Buxton/Frisco/Hatteras/Rodanthe/Salvo/Waves,NC,"Hatteras Avon Buxton Frisco Hatteras Rodanthe Salvo Waves, NC",-75.6903492,35.2194549,Hatteras Avon Buxton Frisco Hatteras Rodanthe Salvo Waves,"Hatteras Avon Buxton Frisco Hatteras Rodanthe Salvo Waves, NC",Hatteras Avon Bux...,"Hatteras Avon Bux..., NC",35.261087016666664
125,79,ORIENTAL_NC,Oriental,NC,"Oriental, NC",-76.6929867,35.0309956,Oriental,"Oriental, NC",Oriental,"Oriental, NC",35.261087016666664
126,8,BEAUFORT_NC,Beaufort,NC,"Beaufort, NC",-76.6638186,34.7182174,Beaufort,"Beaufort, NC",Beaufort,"Beaufort, NC",35.261087016666664
